pl_name,hostname,pl_orbsmax,pl_rade,pl_orbeccen,pl_orbincl,pl_orblper,st_rad,hb,Temp,st_mass,Count Rate
TOI-270 c,TOI-270,0.04526,2.355,0.027,89.36,10,0.38,0.06110127061,2901241.731,0.39,0.06948851372
TOI-270 d,TOI-270,0.0721,2.133,0.032,89.73,-6,0.38,0.06110127061,2901241.731,0.39,0.06948851372
TOI-277 b,TOI-277,0.0269,2.65,0,88.9,90,0.36,0.09533708469,2901241.731,0.16,0.01274203615
TOI-4087 b,TOI-4087,0.04469,13.047,0,87.82,90,1.11,0.08796066347,5802483.463,1.18,0.007249104346
TOI-411 b,TOI-411,0.0528,1.72,0.126,88.3,-40,1.16,0.06419296167,2901241.731,1.1,0.07523062962
TOI-411 c,TOI-411,0.0939,2.74,0.16,88.57,10,1.16,0.06419296167,2901241.731,1.1,0.07523062962
TOI-421 c,TOI-421,0.1189,5.09,0.152,88.353,114.7,0.87,0.06301882129,2901241.731,0.85,0.008490724223
TOI-421 b,TOI-421,0.056,2.68,0.163,85.68,128.9,0.87,0.06301882129,2901241.731,0.85,0.008490724223
TOI-431 d,TOI-431,0.098,3.29,0,89.7,0,0.73,0.0595511643,2901241.731,0.78,0.2997638002
TOI-431 b,TOI-431,0.0113,1.28,0,84.3,0,0.73,0.0595511643,2901241.731,0.78,0.2997638002
TOI-4342 b,TOI-4342,0.05251,2.266,0,89.13,90,0.6,0.06022103496,2901241.731,0.63,0.04393162798
TOI-4342 c,TOI-4342,0.0814,2.415,0,89.63,90,0.6,0.06022103496,2901241.731,0.63,0.04393162798
TOI-451 c,TOI-451,0.0823,3.1,0,89.61,0,0.88,0.0873213107,5802483.463,0.95,0.4136913483
TOI-451 b,TOI-451,0.0283,1.91,0,88.2,0,0.88,0.0873213107,5802483.463,0.95,0.4136913483
TOI-451 d,TOI-451,0.1208,4.07,0,89.25,0,0.88,0.0873213107,5802483.463,0.95,0.4136913483
TOI-4562 b,TOI-4562,0.768,12.53,0.76,89.06,60,1.15,0.08907975466,5802483.463,1.19,0.2482413753
TOI-500 b,TOI-500,0.01189,1.166,0.063,82.09,228.5,0.68,0.05885230521,2901241.731,0.74,0.1370333642
TOI-540 b,TOI-540,0.01223,0.903,0,86.8,90,0.19,0.097534052,5802483.463,0.16,19.78759889
TOI-544 b,TOI-544,0.0251,2.03,0,85.511,90,0.66,0.05260892675,2901241.731,0.85,0.2771668945
